TUCASEID,TULINENO,WECANTRIL,WEGENHTH,WEHBP,WEPAINMD,WEREST,WETYPICAL,WRTELIG,WUFINLWGT,WXCANTRIL,WXGENHTH,WXHBP,WXPAINMD,WXREST,WXTYPICAL
20130111121927,1,9,1,2,2,2,1,840,4401898.856044,0,0,0,0,0,0
20130111122020,1,7,3,2,2,2,2,675,3048302.954892,0,0,0,0,0,0
20130111122022,1,2,2,2,1,2,3,805,7163512.173397,0,0,0,0,0,0
20130111122076,1,8,1,2,2,1,2,938,10147749.639064,0,0,0,0,0,0
20130111122137,1,10,3,1,2,1,2,1050,19542820.273436,0,0,0,0,0,0
20130111122180,1,8,3,1,2,1,1,878,11011052.552100,0,0,0,0,0,0
20130111122224,1,5,4,2,2,3,2,860,14476998.340002,0,0,0,0,0,0
20130111122226,1,10,1,1,2,1,2,690,9896550.228983,0,0,0,0,0,0
20130111122234,1,8,3,1,2,1,2,856,23145874.670364,0,0,0,0,0,0
20130111122267,1,6,1,1,2,1,1,915,16326098.143642,0,0,0,0,0,0
20130111122305,1,8,2,2,1,3,3,978,7302296.834404,0,0,0,0,0,0
20130111122339,1,10,4,2,1,2,2,850,7651570.604301,0,0,0,0,0,0
20130111122381,1,9,2,2,2,1,2,780,7264935.790930,0,0,0,0,0,0
20130111122428,1,6,2,2,2,2,2,747,10024166.980831,0,0,0,0,0,0
20130111122453,1,5,4,1,2,2,2,945,4453536.831023,0,0,0,0,0,0
20130111122467,1,7,4,2,2,1,2,883,9064488.800588,0,0,0,0,0,0
20130111122481,1,8,2,2,1,1,2,870,9736840.870171,0,0,0,0,0,0
20130111122490,1,4,4,1,2,2,2,960,11134986.345875,0,0,0,0,0,0
20130112120003,1,3,5,1,1,2,3,720,20055892.165300,0,0,0,0,0,0
20130112120006,1,10,3,1,2,1,1,650,3378139.335767,0,0,0,0,0,0
20130112120020,1,8,2,2,2,2,2,810,2173222.593097,0,0,0,0,0,0
20130112120027,1,9,4,2,1,1,1,695,13764974.268179,0,0,0,0,0,0
20130112120035,1,5,2,2,2,1,2,990,23903939.388241,0,0,0,0,0,0
20130112120040,1,6,3,1,1,2,2,1010,9831808.616590,0,0,0,0,0,0
20130112120044,1,5,2,1,2,1,2,960,10050051.340392,0,0,0,0,0,0
20130112120049,1,10,1,2,2,4,3,1042,4238352.496192,0,0,0,0,0,0
20130112120052,1,8,2,1,1,1,2,951,10983321.101672,0,0,0,0,0,0
20130112120056,1,5,2,1,1,1,2,695,1752658.710863,0,0,0,0,0,0
20130112120057,1,10,2,1,1,1,3,840,9321872.301505,0,0,0,0,0,0
20130112120064,1,9,2,2,1,1,2,525,15350152.329467,0,0,0,0,0,0
20130112120066,1,6,3,2,2,3,2,830,14690623.406204,0,0,0,0,0,0
20130112120068,1,6,3,2,2,3,3,825,23083051.394095,0,0,0,0,0,0
20130112120076,1,8,1,1,2,2,2,970,4740209.435854,0,0,0,0,0,0
20130112120077,1,5,4,2,2,1,2,565,13546007.025129,0,0,0,0,0,0
20130112120081,1,5,2,1,2,1,2,840,13365722.133053,0,0,0,0,0,0
20130112120100,1,8,2,2,2,2,2,1160,10424349.215399,0,0,0,0,0,0
20130112120103,1,10,1,2,2,1,1,820,8235840.054089,0,0,0,0,0,0
20130112120108,1,8,1,2,2,2,1,1143,16712749.666882,0,42,0,0,0,0
20130112120109,1,9,3,1,2,2,2,840,6420038.524148,0,0,0,0,0,0
20130112120114,1,8,1,2,2,1,1,969,6866990.195618,0,0,0,0,0,0
20130112120118,1,7,3,1,1,2,2,896,6980090.130438,0,0,0,0,0,0
20130112120123,1,5,4,2,2,1,1,848,8798173.449639,0,0,0,0,0,0
20130112120128,1,8,2,2,2,1,2,793,16057701.596494,0,0,0,0,0,0
20130112120131,1,10,3,1,2,1,2,945,18618700.370973,0,0,0,0,0,0
20130112120132,1,7,2,2,2,1,2,990,20052158.512157,0,0,0,0,0,0
20130112120133,1,8,3,2,1,1,2,825,3344542.660232,0,0,0,0,0,0
20130112120135,1,2,5,1,2,2,2,870,8309753.887507,0,0,0,0,0,0
20130112120137,1,10,4,1,1,1,1,840,4257176.723653,0,0,0,0,0,0
20130112120143,1,6,3,1,1,1,1,825,3996844.230185,0,0,0,0,0,0
20130112120146,1,10,2,2,2,1,1,1063,2356877.598195,0,0,0,0,0,0
20130112120150,1,8,2,2,2,2,1,975,2325581.214334,0,0,0,0,0,0
20130112120163,1,7,3,2,2,2,2,940,11314930.461865,0,0,0,0,0,0
20130112120500,1,8,1,2,2,1,3,785,50817801.059139,0,0,0,0,0,0
20130112120503,1,9,2,2,2,3,2,1074,5992296.443333,0,0,0,0,0,0
20130112120505,1,8,1,2,1,1,2,1020,6232686.059677,0,0,0,0,0,0
20130112120511,1,5,1,2,2,3,2,940,10263778.456286,0,0,0,0,0,0
20130112120515,1,2,5,1,1,4,2,585,3096177.837617,0,0,0,0,0,0
20130112120519,1,5,3,2,2,1,2,860,7639173.534073,0,0,0,0,0,0
20130112120523,1,10,1,2,2,1,3,940,6335037.150177,0,0,0,0,0,0
20130112120525,1,7,2,2,2,3,2,888,13356373.181662,0,0,0,0,0,0
20130112120528,1,9,1,1,2,1,2,810,17046955.727205,0,0,0,0,0,0
20130112120538,1,5,5,2,2,3,2,750,5966981.430005,0,0,0,0,0,0
20130112120541,1,8,2,1,2,1,2,930,13209914.514977,0,0,0,0,0,0
20130112120557,1,8,1,1,1,3,2,960,22136981.082619,0,0,0,0,0,0
20130112120561,1,10,1,1,1,1,2,1050,11009888.795144,0,42,0,0,0,42
20130112120562,1,7,3,2,1,1,1,716,4769361.316236,0,0,0,0,0,0
20130112120569,1,7,1,2,2,2,2,1003,21102053.737985,0,0,0,0,0,0
20130112120570,1,8,1,2,2,1,1,900,17645677.215781,0,0,0,0,0,0
20130112120580,1,8,2,2,2,3,2,960,4681534.650555,0,0,0,0,0,0
20130112120581,1,4,2,1,1,4,3,1095,14368713.660348,0,0,0,0,0,0
20130112120582,1,10,3,2,2,2,2,780,4611724.275926,0,0,0,0,0,0
20130112120583,1,5,1,2,2,3,2,840,14638752.848247,0,0,0,0,0,0
20130112120584,1,6,3,2,2,3,2,990,5423370.166794,0,0,0,0,0,0
20130112120591,1,9,3,1,2,1,2,1035,19760410.035221,0,0,0,0,0,0
20130112120596,1,6,1,2,2,1,2,820,39490192.136153,0,0,0,0,0,0
20130112120601,1,10,2,2,2,2,2,930,3808774.284914,0,0,0,0,0,0
20130112120605,1,5,1,2,2,1,2,1012,4828058.931848,0,0,0,0,0,0
20130112120609,1,7,3,2,1,4,2,810,11313940.893551,0,0,0,0,0,0
20130112120612,1,8,2,1,2,1,2,885,16605085.721096,0,0,0,0,0,0
20130112120617,1,8,2,1,2,2,1,928,7736052.450855,0,0,0,0,0,0
20130112120623,1,9,1,2,1,1,1,880,7287548.255578,0,0,0,0,0,0
20130112120630,1,7,2,2,2,2,2,910,7472935.175987,0,0,0,0,0,0
20130112120631,1,7,3,2,2,2,1,940,16874984.833707,0,0,0,0,0,0
20130112120638,1,7,3,2,2,2,2,805,8111824.739105,0,0,0,0,0,0
20130112120643,1,8,3,2,1,1,2,1001,9062549.675780,0,0,0,0,0,0
